@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {music,little}

@DATA
0.055713,0.059515,3.146130,0.148732,0.181363,0.372135,0.006822,0.074788,-24.032301,1.886544,-0.169863,0.418291,0.172588,0.179451,0.214761,0.117007,0.016788,0.119664,0.040615,0.075008,0.058965,0.011286,0.004267,0.119974,0.007279,0.018452,0.010188,0.069932,0.002349,0.003602,0.009888,0.019304,0.004231,0.044122,0.035998,0.033465,0.112071,0.046148,0.025648,0.307204,0.006033,0.078087,1.011850,0.476968,0.468656,0.298813,0.322092,0.264740,0.257542,0.221273,0.216736,0.214527,0.196792,0.203920,0.177974,0.010560,0.005501,0.060243,0.008729,0.015217,0.012108,0.050568,0.003099,0.004392,0.009865,0.021154,0.004707,0.015986,music
0.062695,0.120231,3.095063,0.162076,0.185894,0.487444,0.008949,0.082339,-22.914215,1.707205,0.122107,0.364631,0.037387,0.215917,0.176850,0.131637,-0.028085,0.042710,-0.012058,0.112658,0.064056,0.006076,0.002750,0.090357,0.006853,0.016406,0.005751,0.114784,0.002867,0.006914,0.008901,0.030641,0.002304,0.050141,0.040748,0.086326,0.190806,0.044527,0.022804,0.399041,0.007941,0.086356,1.136505,0.595538,0.487289,0.373926,0.321773,0.297030,0.273770,0.238981,0.223017,0.230211,0.235938,0.229034,0.212341,0.007666,0.004098,0.089739,0.007852,0.014298,0.007567,0.083714,0.004999,0.009895,0.010966,0.032001,0.003153,0.024345,music
0.062435,0.133535,3.161329,0.166762,0.187833,0.557600,0.007892,0.102265,-22.983000,1.639170,0.136360,0.220167,-0.031185,0.201669,0.233904,0.189091,0.038288,0.057329,-0.003012,0.119169,0.053877,0.004492,0.001881,0.069803,0.009242,0.013475,0.002987,0.160926,0.002463,0.005383,0.010197,0.024130,0.002646,0.056172,0.049546,0.076335,0.122336,0.059497,0.024578,0.496458,0.007890,0.108752,1.028638,0.556044,0.473297,0.330914,0.317778,0.276763,0.301181,0.245981,0.240950,0.249306,0.217370,0.211089,0.196326,0.005136,0.002421,0.048811,0.007905,0.011698,0.003890,0.112659,0.003761,0.007714,0.010411,0.024277,0.002980,0.025517,music
0.050638,0.109146,3.141053,0.146280,0.184343,0.445959,0.007631,0.080266,-23.579831,1.867731,-0.010419,0.183175,0.257911,0.234322,-0.039902,0.008935,-0.031390,0.249418,0.004846,0.092838,0.143961,0.005088,0.001687,0.072764,0.005581,0.024174,0.007191,0.056300,0.001892,0.005353,0.014228,0.047856,0.004379,0.037182,0.035362,0.056384,0.178606,0.047441,0.029514,0.360830,0.005428,0.077034,1.119336,0.590178,0.475458,0.326765,0.341563,0.305902,0.309371,0.269611,0.282735,0.260127,0.230650,0.221440,0.224036,0.005550,0.002220,0.048412,0.006343,0.018029,0.010137,0.051243,0.002908,0.006183,0.014554,0.037382,0.005658,0.014399,music
0.048697,0.133808,3.123535,0.149153,0.186450,0.394191,0.007733,0.074602,-23.093522,1.842032,-0.215975,0.160403,0.109120,0.131821,0.188822,0.088198,0.082546,0.177395,0.044864,0.076455,0.029185,0.006447,0.004600,0.157065,0.003838,0.012165,0.012586,0.097513,0.002402,0.003264,0.008595,0.016471,0.002785,0.057997,0.034920,0.077155,0.165079,0.046513,0.025848,0.337755,0.006520,0.077239,1.209993,0.539848,0.527530,0.340295,0.365675,0.294915,0.293209,0.226012,0.228438,0.220113,0.225872,0.195524,0.194101,0.006650,0.005899,0.070931,0.004549,0.009258,0.013968,0.063683,0.003937,0.004554,0.007759,0.017376,0.003461,0.018738,music
0.046572,0.111083,3.075338,0.150319,0.190115,0.378492,0.013887,0.075565,-23.237461,2.588907,-0.048008,0.214583,-0.079298,-0.174777,0.120281,0.300478,0.106221,0.009670,-0.038816,0.073404,-0.044240,0.018517,0.003917,0.097180,0.010693,0.023145,0.007759,0.111024,0.001136,0.004292,0.006099,0.020235,0.009592,0.051044,0.036378,0.086256,0.186951,0.055087,0.029599,0.403976,0.013376,0.093742,1.582584,0.669766,0.550933,0.381834,0.343933,0.300491,0.298719,0.257909,0.261698,0.222447,0.229124,0.209386,0.192706,0.017397,0.004620,0.096565,0.012356,0.021256,0.009868,0.072548,0.002071,0.005343,0.006556,0.019893,0.012399,0.024922,music
0.041415,0.102908,3.122062,0.126339,0.174196,0.312905,0.008895,0.061733,-24.187154,1.937027,0.046347,0.338015,-0.067468,0.099678,0.022321,0.051258,0.006150,0.053809,-0.071570,0.053892,-0.012211,0.006077,0.005347,0.169663,0.011220,0.020086,0.007404,0.061395,0.001770,0.002645,0.010932,0.014798,0.003385,0.052729,0.026223,0.040091,0.117565,0.044337,0.030495,0.278032,0.007014,0.059796,1.092126,0.530490,0.452808,0.346871,0.315777,0.269465,0.284419,0.224477,0.231863,0.225632,0.205895,0.205888,0.181567,0.007074,0.005076,0.068964,0.011604,0.020079,0.008237,0.026769,0.002394,0.003284,0.011090,0.010880,0.004100,0.016912,music
0.048181,0.101176,3.125609,0.128109,0.171887,0.381171,0.009831,0.072380,-22.354311,2.311526,0.299242,-0.018609,0.089123,0.129100,0.021313,0.082135,-0.071313,0.109017,0.043950,0.147310,0.016041,0.008678,0.005240,0.053849,0.016488,0.030404,0.011375,0.051360,0.002588,0.008107,0.016068,0.029243,0.005530,0.029167,0.036470,0.072417,0.162752,0.048373,0.033779,0.359039,0.007265,0.078139,0.926804,0.535227,0.534276,0.400900,0.368656,0.335123,0.318291,0.266242,0.288892,0.249394,0.261111,0.234278,0.207745,0.009988,0.006339,0.051620,0.019873,0.023429,0.014007,0.052903,0.003873,0.009971,0.015017,0.024244,0.007140,0.015898,music
0.055920,0.102323,3.114618,0.142175,0.175063,0.464510,0.010412,0.087772,-23.188245,1.855320,0.183802,0.404519,0.107309,0.086820,0.009589,0.047440,-0.048984,0.093244,0.031040,0.049818,-0.001236,0.014188,0.002722,0.074960,0.008648,0.019430,0.006022,0.090427,0.003216,0.006637,0.013663,0.034533,0.003464,0.043874,0.047998,0.068519,0.210499,0.055978,0.033486,0.434026,0.010718,0.094344,1.449726,0.582221,0.472141,0.332155,0.318264,0.267378,0.263853,0.238540,0.209821,0.211728,0.220711,0.208710,0.191375,0.016692,0.003660,0.061804,0.009355,0.017377,0.007083,0.084974,0.005756,0.008367,0.013412,0.034481,0.004316,0.023831,music
0.051994,0.076504,3.114643,0.141450,0.182393,0.361716,0.008808,0.087545,-23.987385,2.326845,-0.315701,0.272189,-0.202983,0.065051,0.142477,0.012194,0.090282,0.071898,0.053116,0.065988,-0.003113,0.008930,0.007248,0.041265,0.011091,0.020646,0.012529,0.081528,0.003565,0.008202,0.012374,0.028399,0.009861,0.033912,0.042302,0.063471,0.216826,0.057585,0.033063,0.403927,0.006165,0.095323,1.165053,0.588882,0.497894,0.324846,0.357684,0.277465,0.298021,0.254054,0.262552,0.225406,0.222567,0.211925,0.198304,0.008801,0.008799,0.029275,0.011640,0.015411,0.013219,0.060869,0.006575,0.009812,0.011952,0.024437,0.010155,0.016272,music
